date,time,open,high,low,close,something
2016.07.13,2:05,1.10634,1.10636,1.10586,1.10586,336
2016.07.13,2:10,1.10586,1.10607,1.10562,1.10596,346
2016.07.13,2:15,1.10596,1.10604,1.10569,1.10572,370
2016.07.13,2:20,1.10571,1.10617,1.10569,1.10581,516
2016.07.13,2:25,1.10579,1.10602,1.10579,1.10589,352
2016.07.13,2:30,1.10589,1.10598,1.10547,1.10559,664
2016.07.13,2:35,1.10558,1.10605,1.10554,1.10592,475
2016.07.13,2:40,1.10591,1.10605,1.10586,1.10596,308
2016.07.13,2:45,1.10598,1.10635,1.10595,1.10614,310
2016.07.13,2:50,1.10614,1.10641,1.10614,1.10622,268
2016.07.13,2:55,1.10621,1.10641,1.10618,1.10638,234
2016.07.13,3:00,1.10638,1.10655,1.10622,1.10636,403
2016.07.13,3:05,1.10637,1.10667,1.10635,1.10643,364
2016.07.13,3:10,1.10644,1.10653,1.10623,1.10645,224
2016.07.13,3:15,1.10645,1.10672,1.10644,1.10655,244
2016.07.13,3:20,1.10656,1.10676,1.10649,1.10673,291
2016.07.13,3:25,1.10672,1.10672,1.10634,1.10637,279
2016.07.13,3:30,1.10637,1.10656,1.10628,1.1065,663
2016.07.13,3:35,1.10651,1.10666,1.10647,1.10665,239
2016.07.13,3:40,1.10666,1.10679,1.1066,1.10679,224
2016.07.13,3:45,1.1068,1.10692,1.10624,1.1063,478
2016.07.13,3:50,1.10629,1.10641,1.10609,1.1061,262
2016.07.13,3:55,1.10611,1.10641,1.10611,1.10616,306
2016.07.13,4:00,1.10617,1.10637,1.10614,1.10633,243
2016.07.13,4:05,1.10633,1.10642,1.10626,1.10632,250
2016.07.13,4:10,1.10634,1.10643,1.10627,1.10629,309
2016.07.13,4:15,1.10629,1.10645,1.10628,1.10645,315
2016.07.13,4:20,1.1064,1.10655,1.10628,1.10628,224
2016.07.13,4:25,1.10629,1.1065,1.10627,1.10643,319
2016.07.13,4:30,1.10643,1.10643,1.10605,1.10609,372
2016.07.13,4:35,1.10609,1.10624,1.10589,1.10612,452
2016.07.13,4:40,1.10613,1.10629,1.10599,1.10609,290
2016.07.13,4:45,1.10608,1.10629,1.10602,1.10609,237
2016.07.13,4:50,1.10604,1.10632,1.10598,1.10631,271
2016.07.13,4:55,1.1063,1.10657,1.1061,1.10657,212
2016.07.13,5:00,1.10654,1.10656,1.1063,1.10639,286
2016.07.13,5:05,1.10639,1.10668,1.10631,1.10639,286
2016.07.13,5:10,1.1064,1.10657,1.10632,1.1065,260
2016.07.13,5:15,1.10649,1.10659,1.10641,1.1065,287
2016.07.13,5:20,1.10651,1.10665,1.10632,1.10652,295
2016.07.13,5:25,1.10652,1.10663,1.10636,1.10643,386
2016.07.13,5:30,1.10644,1.10667,1.10642,1.10655,281
2016.07.13,5:35,1.10655,1.10696,1.10648,1.10686,402
2016.07.13,5:40,1.10686,1.10687,1.10659,1.10669,432
2016.07.13,5:45,1.10669,1.1071,1.10663,1.10689,391
2016.07.13,5:50,1.10689,1.10696,1.10672,1.10677,362
2016.07.13,5:55,1.10677,1.10694,1.10663,1.10686,364
2016.07.13,6:00,1.10687,1.10687,1.10635,1.1064,435
2016.07.13,6:05,1.10646,1.10656,1.1063,1.10647,477
2016.07.13,6:10,1.10642,1.10645,1.10582,1.10599,494
2016.07.13,6:15,1.10599,1.10607,1.10552,1.10582,603
2016.07.13,6:20,1.10582,1.10643,1.10582,1.10643,552
2016.07.13,6:25,1.10639,1.10639,1.10614,1.1063,406
2016.07.13,6:30,1.1063,1.10643,1.10586,1.1064,416
2016.07.13,6:35,1.10639,1.1065,1.10599,1.10613,500
2016.07.13,6:40,1.10612,1.10649,1.10599,1.10643,433
2016.07.13,6:45,1.10643,1.10652,1.10601,1.10633,640
2016.07.13,6:50,1.10633,1.10633,1.10596,1.10615,343
2016.07.13,6:55,1.10615,1.10615,1.10562,1.10575,498
2016.07.13,7:00,1.10575,1.10632,1.1049,1.10532,1040
2016.07.13,7:05,1.10532,1.10551,1.10504,1.10528,874
2016.07.13,7:10,1.10528,1.10536,1.10461,1.10471,938
2016.07.13,7:15,1.10472,1.10524,1.10462,1.10518,767
2016.07.13,7:20,1.10519,1.10519,1.10467,1.10485,708
2016.07.13,7:25,1.10484,1.10491,1.10419,1.10468,773
2016.07.13,7:30,1.10468,1.10511,1.10464,1.10502,665
2016.07.13,7:35,1.10502,1.10536,1.10499,1.10523,676
2016.07.13,7:40,1.10524,1.10526,1.10469,1.10502,786
2016.07.13,7:45,1.10502,1.10535,1.10481,1.10484,798
2016.07.13,7:50,1.10478,1.10505,1.10463,1.10501,629
2016.07.13,7:55,1.10497,1.10509,1.10453,1.10462,715
2016.07.13,8:00,1.10463,1.10494,1.10428,1.10472,731
2016.07.13,8:05,1.10471,1.1052,1.10461,1.10512,611
2016.07.13,8:10,1.10505,1.10518,1.10443,1.10459,584
2016.07.13,8:15,1.10459,1.10499,1.10437,1.10489,517
2016.07.13,8:20,1.10489,1.10516,1.10473,1.10491,628
2016.07.13,8:25,1.10492,1.10504,1.1044,1.1048,710
2016.07.13,8:30,1.1048,1.10524,1.10478,1.10506,631
2016.07.13,8:35,1.10506,1.10576,1.10505,1.10558,710
2016.07.13,8:40,1.10558,1.10601,1.10547,1.10589,577
2016.07.13,8:45,1.10589,1.10593,1.10547,1.10559,543
2016.07.13,8:50,1.10559,1.10624,1.10559,1.10598,537
2016.07.13,8:55,1.10599,1.10623,1.10562,1.10592,472
2016.07.13,9:00,1.10592,1.10592,1.10527,1.10559,559
2016.07.13,9:05,1.10557,1.10565,1.10516,1.10531,496
2016.07.13,9:10,1.1053,1.10536,1.10498,1.10524,501
2016.07.13,9:15,1.10524,1.10584,1.10517,1.10581,652
2016.07.13,9:20,1.10582,1.10598,1.10571,1.10593,615
2016.07.13,9:25,1.10593,1.10664,1.10586,1.10658,583
2016.07.13,9:30,1.10653,1.10673,1.10599,1.10617,718
2016.07.13,9:35,1.10617,1.10767,1.10602,1.10756,722
2016.07.13,9:40,1.10749,1.10761,1.1069,1.10761,883
2016.07.13,9:45,1.10761,1.10765,1.10693,1.10712,732
2016.07.13,9:50,1.10712,1.10781,1.10685,1.10772,653
2016.07.13,9:55,1.10771,1.10807,1.10759,1.10779,706
2016.07.13,10:00,1.10779,1.10796,1.10719,1.10726,765
2016.07.13,10:05,1.10726,1.10769,1.10726,1.10761,678
2016.07.13,10:10,1.10762,1.10781,1.10746,1.10776,576
2016.07.13,10:15,1.10776,1.10789,1.10761,1.10779,799
2016.07.13,10:20,1.10779,1.10798,1.10756,1.10776,753
2016.07.13,10:25,1.10776,1.10786,1.1075,1.10759,604
2016.07.13,10:30,1.10759,1.10796,1.10752,1.10784,517
2016.07.13,10:35,1.10784,1.10831,1.10776,1.10825,509
2016.07.13,10:40,1.10826,1.10846,1.10812,1.10812,462
2016.07.13,10:45,1.1081,1.10847,1.10782,1.10831,612
2016.07.13,10:50,1.10829,1.10842,1.10811,1.10841,380
2016.07.13,10:55,1.1084,1.10846,1.10799,1.10846,451
2016.07.13,11:00,1.10846,1.1085,1.10812,1.10822,654
2016.07.13,11:05,1.10822,1.10844,1.10822,1.10834,525
2016.07.13,11:10,1.10835,1.10835,1.10807,1.10812,354
2016.07.13,11:15,1.10811,1.10812,1.10774,1.10785,487
2016.07.13,11:20,1.10786,1.10788,1.10757,1.10772,414
2016.07.13,11:25,1.10772,1.10775,1.10747,1.10748,407
2016.07.13,11:30,1.10749,1.10758,1.10732,1.10752,486
2016.07.13,11:35,1.10747,1.10764,1.10726,1.10757,601
2016.07.13,11:40,1.10756,1.10779,1.10739,1.10761,591
2016.07.13,11:45,1.10759,1.10776,1.10737,1.10761,452
2016.07.13,11:50,1.10761,1.10782,1.10745,1.10768,481
2016.07.13,11:55,1.10769,1.10769,1.1072,1.1074,568
2016.07.13,12:00,1.10739,1.10741,1.10688,1.10693,625
2016.07.13,12:05,1.10693,1.10716,1.10687,1.10697,512
2016.07.13,12:10,1.10698,1.10732,1.10695,1.10713,523
2016.07.13,12:15,1.10713,1.10752,1.10687,1.10698,644
2016.07.13,12:20,1.10695,1.10707,1.10666,1.10694,585
2016.07.13,12:25,1.10694,1.10752,1.10693,1.10737,577
2016.07.13,12:30,1.10736,1.10756,1.10725,1.10742,510
2016.07.13,12:35,1.10742,1.10784,1.10742,1.10761,469
2016.07.13,12:40,1.10762,1.10774,1.10742,1.10774,483
2016.07.13,12:45,1.10772,1.10809,1.10766,1.10799,473
2016.07.13,12:50,1.10801,1.10831,1.10784,1.10819,558
2016.07.13,12:55,1.10818,1.10883,1.10811,1.10878,750
2016.07.13,13:00,1.10874,1.10905,1.10841,1.10857,729
2016.07.13,13:05,1.10856,1.10873,1.10828,1.10872,607
2016.07.13,13:10,1.10872,1.10936,1.10856,1.10926,567
2016.07.13,13:15,1.10927,1.10945,1.10895,1.10904,686
2016.07.13,13:20,1.10903,1.10915,1.10874,1.10898,587
2016.07.13,13:25,1.10897,1.10904,1.10874,1.10881,422
2016.07.13,13:30,1.10881,1.10896,1.10865,1.10878,690
2016.07.13,13:35,1.10876,1.10888,1.10825,1.1085,719
2016.07.13,13:40,1.10851,1.10865,1.10813,1.10842,804
2016.07.13,13:45,1.10842,1.10877,1.10831,1.10867,800
2016.07.13,13:50,1.10868,1.1092,1.1086,1.1089,711
2016.07.13,13:55,1.10891,1.10903,1.10793,1.10828,710
2016.07.13,14:00,1.10829,1.1091,1.10816,1.10841,1002
2016.07.13,14:05,1.10841,1.10861,1.10822,1.10846,777
2016.07.13,14:10,1.10845,1.10906,1.10845,1.10873,785
2016.07.13,14:15,1.10874,1.10976,1.10871,1.10971,736
2016.07.13,14:20,1.10971,1.11012,1.10948,1.10981,720
2016.07.13,14:25,1.10986,1.111,1.10986,1.11052,915
2016.07.13,14:30,1.11052,1.11167,1.11039,1.11133,945
2016.07.13,14:35,1.11133,1.11191,1.11125,1.11158,826
2016.07.13,14:40,1.11157,1.11196,1.11127,1.11147,772
2016.07.13,14:45,1.11147,1.11156,1.1108,1.11096,682
2016.07.13,14:50,1.11101,1.11184,1.1109,1.11114,882
2016.07.13,14:55,1.11115,1.11134,1.11013,1.11015,1124
2016.07.13,15:00,1.11016,1.11082,1.10999,1.11065,931
2016.07.13,15:05,1.11066,1.1107,1.1102,1.11053,722
2016.07.13,15:10,1.11056,1.11095,1.11047,1.11086,546
2016.07.13,15:15,1.11085,1.11116,1.11039,1.11056,676
2016.07.13,15:20,1.11054,1.11077,1.1102,1.11053,703
2016.07.13,15:25,1.11053,1.11062,1.11019,1.11032,599
2016.07.13,15:30,1.11031,1.1112,1.11012,1.1111,633
2016.07.13,15:35,1.1111,1.1114,1.1108,1.1111,583
2016.07.13,15:40,1.11111,1.11142,1.11056,1.11096,582
2016.07.13,15:45,1.11097,1.11098,1.11023,1.11058,547
2016.07.13,15:50,1.11059,1.11112,1.1105,1.11102,609
2016.07.13,15:55,1.11102,1.11142,1.11083,1.11117,470
2016.07.13,16:00,1.11117,1.11167,1.11108,1.11122,453
2016.07.13,16:05,1.11121,1.11136,1.11105,1.11119,465
2016.07.13,16:10,1.1112,1.11131,1.11075,1.11078,341
2016.07.13,16:15,1.11078,1.11082,1.11019,1.11042,491
2016.07.13,16:20,1.11042,1.11062,1.11033,1.11045,336
2016.07.13,16:25,1.11044,1.11079,1.11043,1.11054,323
2016.07.13,16:30,1.11054,1.11078,1.11045,1.11064,399
2016.07.13,16:35,1.11065,1.11085,1.11052,1.11063,419
2016.07.13,16:40,1.11061,1.11105,1.11056,1.11088,380
2016.07.13,16:45,1.11089,1.11099,1.1106,1.11072,377
2016.07.13,16:50,1.11072,1.11115,1.11072,1.11109,321
2016.07.13,16:55,1.11108,1.11122,1.11056,1.11083,487
2016.07.13,17:00,1.11083,1.1113,1.11077,1.11111,580
2016.07.13,17:05,1.1111,1.11118,1.11092,1.11105,320
2016.07.13,17:10,1.11104,1.11104,1.11071,1.11072,246
2016.07.13,17:15,1.11071,1.11103,1.11071,1.11097,220
2016.07.13,17:20,1.11097,1.11114,1.11063,1.11065,305
2016.07.13,17:25,1.11064,1.11076,1.11049,1.11062,289
2016.07.13,17:30,1.11063,1.1107,1.1105,1.11053,325
2016.07.13,17:35,1.11054,1.11102,1.11053,1.11089,397
2016.07.13,17:40,1.11089,1.1109,1.11065,1.11082,274
2016.07.13,17:45,1.11081,1.11109,1.11077,1.11082,259
2016.07.13,17:50,1.11082,1.11086,1.11055,1.11076,298
